kt_path,model,Abrupt Control Flow,CE,Chapin Q,CondE,Conditional Complexity,Conditional Statements,Cyclomatic Complexity,Halstead Bugs,Halstead Difficulty,Halstead Distinct Operands,Halstead Distinct Operators,Halstead Effort,Halstead Length,Halstead Time,Halstead Total Operands,Halstead Total Operators,Halstead Vocabulary,Halstead Volume,JSD,KL,LM_CE,LM_CondE,LM_JSD,LM_KL,LM_PPL,Labeled Blocks,Local Variables,PPL,Pivovarsky N(G),Program Size
9202/solution_9202.kt,Qwen2.5-Coder-7B,0,13.399202213809303,6.0,10.263660527654237,0.0,0,1,0,0,0,3,0.0,5,0.0,0,5,3,7.92481250360578,0.5043469646579422,8.986361792374325,10.087393686004368,2.4412407882720353,0.6892366486329958,5.674542628885087,1087.9478482269744,0,3,10803.433035455759,1,92
9202/solution_9202.kt,Qwen2.5-Coder-0.5B-Instruct-KExercises-KStack-clean-bytecode-4bit-lora,0,13.729488040552717,4.0,7.960721401689585,0.0,0,1,0,0,0,2,0.0,3,0.0,0,3,2,3.0,0.5289026950277078,9.383262171737732,12.377256743231484,4.232341916469088,0.7138251729976055,8.03102023865247,5320.170414574864,0,2,13582.75056432435,1,66
11310/solution_11310.kt,kt_source,0,4.133660689688186,2.0,0.4481203125901445,0.0,0,1,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.0,0.0,12.099849818437068,6.827708218986384,0.7747252407327833,7.96617849270581,4389.527138089316,0,1,17.55318214798086,1,39
11310/solution_11310.kt,CodeLlama-7b-hf,0,13.537803937242417,0.0,11.441004998535721,0.0,0,1,0,0,0,1,0.0,1,0.0,0,1,1,0.0,0.5864682572142107,9.655758828826512,7.996156086537539,1.3151775081694346,0.7294020107516346,4.114100342277879,255.3188220361231,0,0,11892.825879972588,1,40
11310/solution_11310.kt,CodeLlama-7b-Instruct-hf,0,12.14610797464605,2.0,9.75777346029838,0.0,0,1,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.48914736850115403,8.011771861292146,9.161626968204423,3.151346917111573,0.7153215175833009,5.027280219006764,572.696496777923,0,1,4532.552372313785,1,46
11310/solution_11310.kt,CodeLlama-7B-KStack-clean,0,16.133435487492147,2.0,11.037703254066813,0.0,0,1,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.5955647453553445,11.999099374058517,8.495930217203705,3.023421591213438,0.7217787688688441,4.361583468006046,361.0188150723812,0,1,71886.61182672145,1,46
11310/solution_11310.kt,CodeLlama-7B-KStack,0,13.537803937242417,0.0,11.441004998535723,0.0,0,1,0,0,0,1,0.0,1,0.0,0,1,1,0.0,0.5864682572142108,9.655758828826512,7.996156086537539,1.3151775081723156,0.7294020107517887,4.114100342277879,255.3188220361231,0,0,11892.825879972588,1,40
11310/solution_11310.kt,deepseek-coder-1.3b-instruct,0,15.787014963555354,4.0,13.09382695065142,0.0,0,1,0,0,0,2,0.0,3,0.0,0,3,2,3.0,0.5775477473445911,11.566847282071212,7.822164625186528,0.9358270966531639,0.710798953100203,3.601986307938355,226.3112707412623,0,2,56541.20319522412,1,52
11310/solution_11310.kt,deepseek-coder-1.3B-kexer,0,10.388301246023083,2.0,8.324807304176703,0.0,0,1,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.4560153164492151,6.419299615987637,12.089173722800245,5.998450446468253,0.7644148138408055,8.120161456801453,4357.164066537968,0,1,1340.263773525999,1,37
11310/solution_11310.kt,deepseek-coder-6.7b-base,0,11.702921257874285,0.0,10.063653371772636,0.0,0,1,0,0,0,1,0.0,1,0.0,0,1,1,0.0,0.5609020404644167,8.02104045479184,9.324872763060553,4.384635706124646,0.7861295680984693,5.642981324054625,641.3076306437624,0,0,3333.729326528184,1,31
11310/solution_11310.kt,deepseek-coder-6.7b-instruct,0,13.53780393723313,2.0,11.441004998535723,0.0,0,1,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.53974406553559,9.568802307157819,11.955323529327885,5.975892120805412,0.7640819086129091,7.9863112633290925,3971.101523503924,0,1,11892.825879896032,1,37
11310/solution_11310.kt,deepseek-coder-6.7B-kexer,0,10.388301246023083,2.0,8.324807304176701,0.0,0,1,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.4560153164492151,6.419299615987637,10.562645743749306,6.968292370747122,0.7644242778210243,6.593633477790377,1512.4227534980025,0,1,1340.263773525999,1,37
11310/solution_11310.kt,deepseek-coder-7b-base-v1.5,0,11.702921257874285,0.0,10.063653371772636,0.0,0,1,0,0,0,1,0.0,1,0.0,0,1,1,0.0,0.5609020404644167,8.02104045479184,9.22992076544368,3.5678729508979474,0.7859644789194623,5.548029326437753,600.4585151933135,0,0,3333.729326528184,1,31
